Day,Temperature,Humidity,Wind_Speed,Rainfall,Cloud_Cover,Umbrella
1,30,75,12,2.5,65,Yes
2,32,68,10,0,35,No
3,29,82,15,8.2,80,Yes
4,31,70,8,0.5,40,No
5,28,88,18,12.4,90,Yes
6,33,65,7,0,25,No
7,30,79,14,4.6,70,Yes
8,34,60,9,0,20,No
9,27,91,20,15.8,95,Yes
10,31,73,11,1.2,55,Yes
11,32,67,8,0,30,No
12,29,85,16,7.5,82,Yes
13,35,58,6,0,15,No
14,30,77,13,3.8,68,Yes
15,33,64,10,0,28,No
16,28,89,19,11.6,92,Yes
17,31,72,12,2.1,60,Yes
18,34,62,7,0,22,No
19,29,83,17,6.9,78,Yes
20,32,69,9,0,38,No
